date,variable,value
2026-01-21T19:00:00Z,5%,2.967296760069018
2026-01-21T19:00:00Z,50%,3.0954495702284244
2026-01-21T19:00:00Z,95%,3.233126364534029
2026-01-21T20:00:00Z,5%,3.855850047121401
2026-01-21T20:00:00Z,50%,3.9800335781640968
2026-01-21T20:00:00Z,95%,4.102410001386072
2026-01-21T21:00:00Z,5%,4.334784400540255
2026-01-21T21:00:00Z,50%,4.464047171569528
2026-01-21T21:00:00Z,95%,4.588699401601408
2026-01-21T22:00:00Z,5%,4.058431041997913
2026-01-21T22:00:00Z,50%,4.18311623216894
2026-01-21T22:00:00Z,95%,4.3050142142117975
2026-01-21T23:00:00Z,5%,3.4915463365456687
2026-01-21T23:00:00Z,50%,3.6155088545738274
2026-01-21T23:00:00Z,95%,3.7401254933709605
2026-01-22T00:00:00Z,5%,2.9530588623088656
2026-01-22T00:00:00Z,50%,3.0765415188444902
2026-01-22T00:00:00Z,95%,3.2003544428143402
2026-01-22T01:00:00Z,5%,2.428047295288892
2026-01-22T01:00:00Z,50%,2.551661380208846
2026-01-22T01:00:00Z,95%,2.6740887178886084
2026-01-22T02:00:00Z,5%,2.0245672808659516
2026-01-22T02:00:00Z,50%,2.148018022047594
2026-01-22T02:00:00Z,95%,2.270971590825283
2026-01-22T03:00:00Z,5%,1.7193147683932537
2026-01-22T03:00:00Z,50%,1.8428335461350835
2026-01-22T03:00:00Z,95%,1.964890037783192
2026-01-22T04:00:00Z,5%,1.425103510499132
2026-01-22T04:00:00Z,50%,1.5485706366607475
2026-01-22T04:00:00Z,95%,1.6716521658160006
2026-01-22T05:00:00Z,5%,1.1719911525336089
2026-01-22T05:00:00Z,50%,1.2944007358145955
2026-01-22T05:00:00Z,95%,1.4161875471672773
2026-01-22T06:00:00Z,5%,0.8743543844680276
2026-01-22T06:00:00Z,50%,0.9984150072112289
2026-01-22T06:00:00Z,95%,1.1203180084279405
2026-01-22T07:00:00Z,5%,0.5530604797389266
2026-01-22T07:00:00Z,50%,0.6760557118096653
2026-01-22T07:00:00Z,95%,0.7987146397379588
2026-01-22T08:00:00Z,5%,0.28255295585641726
2026-01-22T08:00:00Z,50%,0.40478817993278887
