date,variable,value
2026-01-21T19:00:00Z,5%,2.8846479791297575
2026-01-21T19:00:00Z,50%,3.0188714375059655
2026-01-21T19:00:00Z,95%,3.1538072016193577
2026-01-21T20:00:00Z,5%,3.8730306209067016
2026-01-21T20:00:00Z,50%,4.004989801937895
2026-01-21T20:00:00Z,95%,4.1348516352910964
2026-01-21T21:00:00Z,5%,4.381887149256411
2026-01-21T21:00:00Z,50%,4.514415453223714
2026-01-21T21:00:00Z,95%,4.64352309857996
2026-01-21T22:00:00Z,5%,4.073448903428336
2026-01-21T22:00:00Z,50%,4.202941580953956
2026-01-21T22:00:00Z,95%,4.333455131126586
2026-01-21T23:00:00Z,5%,3.4850218150964434
2026-01-21T23:00:00Z,50%,3.6164605979263618
2026-01-21T23:00:00Z,95%,3.7474497881307087
2026-01-22T00:00:00Z,5%,2.9505623055475487
2026-01-22T00:00:00Z,50%,3.0795650420462177
2026-01-22T00:00:00Z,95%,3.212065616925086
2026-01-22T01:00:00Z,5%,2.418807544025469
2026-01-22T01:00:00Z,50%,2.549838157891478
2026-01-22T01:00:00Z,95%,2.679686767188525
2026-01-22T02:00:00Z,5%,2.01753571462957
2026-01-22T02:00:00Z,50%,2.145796844017319
2026-01-22T02:00:00Z,95%,2.278756915542196
2026-01-22T03:00:00Z,5%,1.7142159320138741
2026-01-22T03:00:00Z,50%,1.8447571736888586
2026-01-22T03:00:00Z,95%,1.9763142519976427
2026-01-22T04:00:00Z,5%,1.4198533038238463
2026-01-22T04:00:00Z,50%,1.5506310063043731
2026-01-22T04:00:00Z,95%,1.6803145085545195
2026-01-22T05:00:00Z,5%,1.1687536814990995
2026-01-22T05:00:00Z,50%,1.2995668930944286
2026-01-22T05:00:00Z,95%,1.4297037642701924
2026-01-22T06:00:00Z,5%,0.8688390931285944
2026-01-22T06:00:00Z,50%,1.000227807702978
2026-01-22T06:00:00Z,95%,1.1326073114897828
2026-01-22T07:00:00Z,5%,0.5452953382217153
2026-01-22T07:00:00Z,50%,0.6756675202544926
2026-01-22T07:00:00Z,95%,0.8070134747421873
2026-01-22T08:00:00Z,5%,0.2699732099269495
2026-01-22T08:00:00Z,50%,0.4018016789448919
2026-01-22T08:00:00Z,95%,0.5301022614436065
2026-01-22T09:00:00Z,5%,0.08043740672416638
2026-01-22T09:00:00Z,50%,0.21095430860268072
2026-01-22T09:00:00Z,95%,0.3393324136913109
2026-01-22T10:00:00Z,5%,-0.004353948177107703
2026-01-22T10:00:00Z,50%,0.12457967474446568
2026-01-22T10:00:00Z,95%,0.2577899191154182
