date,variable,value
2026-01-21T19:00:00Z,5%,2.8823489132059144
2026-01-21T19:00:00Z,50%,3.0080604664767914
2026-01-21T19:00:00Z,95%,3.1344927515453906
2026-01-21T20:00:00Z,5%,3.8862427750017328
2026-01-21T20:00:00Z,50%,4.009985112226708
2026-01-21T20:00:00Z,95%,4.133204086036088
2026-01-21T21:00:00Z,5%,4.397342759039678
2026-01-21T21:00:00Z,50%,4.522655237431172
2026-01-21T21:00:00Z,95%,4.64472588155737
2026-01-21T22:00:00Z,5%,4.080685603901874
2026-01-21T22:00:00Z,50%,4.2053940831806695
2026-01-21T22:00:00Z,95%,4.3266832686258905
2026-01-21T23:00:00Z,5%,3.4918337970353277
2026-01-21T23:00:00Z,50%,3.6150157337697104
2026-01-21T23:00:00Z,95%,3.7381449926150156
2026-01-22T00:00:00Z,5%,2.954722910931262
2026-01-22T00:00:00Z,50%,3.078192542508064
2026-01-22T00:00:00Z,95%,3.201391003397845
2026-01-22T01:00:00Z,5%,2.4244950561802505
2026-01-22T01:00:00Z,50%,2.5485135996391657
2026-01-22T01:00:00Z,95%,2.6707000688703344
2026-01-22T02:00:00Z,5%,2.0230540458286157
2026-01-22T02:00:00Z,50%,2.146561384003159
2026-01-22T02:00:00Z,95%,2.2700393614246464
2026-01-22T03:00:00Z,5%,1.7198971757778616
2026-01-22T03:00:00Z,50%,1.844243751594206
2026-01-22T03:00:00Z,95%,1.966901151323064
2026-01-22T04:00:00Z,5%,1.424752496205444
2026-01-22T04:00:00Z,50%,1.54774681849354
2026-01-22T04:00:00Z,95%,1.6719866068279126
2026-01-22T05:00:00Z,5%,1.1784634925027893
2026-01-22T05:00:00Z,50%,1.300713734377992
2026-01-22T05:00:00Z,95%,1.4242093779286422
2026-01-22T06:00:00Z,5%,0.8767684967034661
2026-01-22T06:00:00Z,50%,1.0012158364208739
2026-01-22T06:00:00Z,95%,1.1237553149831647
2026-01-22T07:00:00Z,5%,0.5533442976270991
2026-01-22T07:00:00Z,50%,0.6767453045543106
2026-01-22T07:00:00Z,95%,0.8012997511434562
2026-01-22T08:00:00Z,5%,0.2775689722388701
2026-01-22T08:00:00Z,50%,0.40050283297239125
2026-01-22T08:00:00Z,95%,0.5233140198631028
2026-01-22T09:00:00Z,5%,0.08538548428456466
2026-01-22T09:00:00Z,50%,0.20891462411902412
2026-01-22T09:00:00Z,95%,0.3322707668756628
2026-01-22T10:00:00Z,5%,0.0026368029662198035
2026-01-22T10:00:00Z,50%,0.12480815354128193
2026-01-22T10:00:00Z,95%,0.24745955141598006
2026-01-22T11:00:00Z,5%,0.025129907572976253
2026-01-22T11:00:00Z,50%,0.1476036319162555
2026-01-22T11:00:00Z,95%,0.27180202792470515
2026-01-22T12:00:00Z,5%,0.025109759904157362
2026-01-22T12:00:00Z,50%,0.14769746331679717
2026-01-22T12:00:00Z,95%,0.27213790112250036
2026-01-22T13:00:00Z,5%,-3.9979567387494813e-4
2026-01-22T13:00:00Z,50%,0.1219744483530063
2026-01-22T13:00:00Z,95%,0.24311890445234827
2026-01-22T14:00:00Z,5%,0.026260729052214785
