date,variable,value
2026-01-21T19:00:00Z,5%,2.882365824718888
2026-01-21T19:00:00Z,50%,3.0079938029442603
2026-01-21T19:00:00Z,95%,3.133861214962998
2026-01-21T20:00:00Z,5%,3.8853006163377004
2026-01-21T20:00:00Z,50%,4.010172150038314
2026-01-21T20:00:00Z,95%,4.135423395742292
2026-01-21T21:00:00Z,5%,4.397137291579033
2026-01-21T21:00:00Z,50%,4.521183278330991
2026-01-21T21:00:00Z,95%,4.6443533595135715
2026-01-21T22:00:00Z,5%,4.081873580490906
2026-01-21T22:00:00Z,50%,4.205068093733098
2026-01-21T22:00:00Z,95%,4.327792947510537
2026-01-21T23:00:00Z,5%,3.4905558918997825
2026-01-21T23:00:00Z,50%,3.614809975342227
2026-01-21T23:00:00Z,95%,3.739991374210921
2026-01-22T00:00:00Z,5%,2.9557859750357736
2026-01-22T00:00:00Z,50%,3.078882091162498
2026-01-22T00:00:00Z,95%,3.203004309203296
2026-01-22T01:00:00Z,5%,2.4252148483459632
2026-01-22T01:00:00Z,50%,2.5478051076426897
2026-01-22T01:00:00Z,95%,2.672520922090507
2026-01-22T02:00:00Z,5%,2.0229694738560298
2026-01-22T02:00:00Z,50%,2.1464778002306364
2026-01-22T02:00:00Z,95%,2.2708224088878852
2026-01-22T03:00:00Z,5%,1.7212214808936772
2026-01-22T03:00:00Z,50%,1.8445806859406095
2026-01-22T03:00:00Z,95%,1.967913289100327
2026-01-22T04:00:00Z,5%,1.4254671010395947
2026-01-22T04:00:00Z,50%,1.5487204804525274
2026-01-22T04:00:00Z,95%,1.6704439617904636
2026-01-22T05:00:00Z,5%,1.1769106740561825
2026-01-22T05:00:00Z,50%,1.3021250699331848
2026-01-22T05:00:00Z,95%,1.4242909119897667
2026-01-22T06:00:00Z,5%,0.8770951776729805
2026-01-22T06:00:00Z,50%,1.000723132456237
2026-01-22T06:00:00Z,95%,1.1236982812124243
2026-01-22T07:00:00Z,5%,0.5525724684669755
2026-01-22T07:00:00Z,50%,0.6764862299970084
2026-01-22T07:00:00Z,95%,0.7986325829649786
2026-01-22T08:00:00Z,5%,0.27609615793205994
2026-01-22T08:00:00Z,50%,0.4007817974082074
2026-01-22T08:00:00Z,95%,0.5243888326360497
2026-01-22T09:00:00Z,5%,0.08593297145765717
2026-01-22T09:00:00Z,50%,0.2090290729800345
2026-01-22T09:00:00Z,95%,0.33472588724263963
2026-01-22T10:00:00Z,5%,3.9936941293279083e-4
2026-01-22T10:00:00Z,50%,0.12451414547684608
2026-01-22T10:00:00Z,95%,0.24844437673371864
2026-01-22T11:00:00Z,5%,0.023401361602471766
2026-01-22T11:00:00Z,50%,0.14778094117238408
2026-01-22T11:00:00Z,95%,0.27136133810094304
2026-01-22T12:00:00Z,5%,0.02531920716130448
2026-01-22T12:00:00Z,50%,0.1486793144763539
2026-01-22T12:00:00Z,95%,0.27128048833095375
2026-01-22T13:00:00Z,5%,-2.632521172850444e-4
2026-01-22T13:00:00Z,50%,0.12281233121459019
2026-01-22T13:00:00Z,95%,0.24754740238260353
2026-01-22T14:00:00Z,5%,0.023186891152654092
2026-01-22T14:00:00Z,50%,0.14837474359850172
